Top 10 Most Profitable Apps,,,,
Name,Profit,Combined Rating,App Price,Genre
PewDiePie's Tuber Simulator,493400,4.9,0,Games
"Egg, Inc.",488600,4.85,0,Games
ASOS,488600,4.85,0,Shopping
Domino's Pizza USA,488600,4.85,0,Food & Drink
The Guardian,488600,4.85,0,News
Geometry Dash Lite,479000,4.75,0,Games
Fernanfloo,469400,4.65,0,Games
Bible,464600,4.6,0,Reference
Narcos: Cartel Wars,464600,4.6,0,Games
Solitaire,464600,4.6,0,Games
,,,,
Top 5 Halloween Recs,,,,
Zombie Catchers,464600,4.6,0,Games
PicsArt Photo Studio: Collage Maker and Pic Editor,455000,4.5,0,Photo & Video
Seven - 7 Minute Workout Training Challenge,455000,4.5,0,Health & Fitness
Zombie Tsunami,450200,4.45,0,Games
Candy Crush Saga,450200,4.45,0,Games
