"name","profit","combined_rating","app_price","play_price","genre"
"PewDiePie's Tuber Simulator",169400,4.9,0.0,"0","Games"
"Egg, Inc.",167600,4.85,0.0,"0","Games"
"The Guardian",167600,4.85,0.0,"0","News"
"Domino's Pizza USA",167600,4.85,0.0,"0","Food & Drink"
"ASOS",167600,4.85,0.0,"0","Shopping"
"Geometry Dash Lite",164000,4.75,0.0,"0","Games"
"Fernanfloo",160400,4.65,0.0,"0","Games"
"Toy Blast",158600,4.6,0.0,"0","Games"
"Zombie Catchers",158600,4.6,0.0,"0","Games"
"Bible",158600,4.6,0.0,"0","Reference"
"Narcos: Cartel Wars",158600,4.6,0.0,"0","Games"
"Solitaire",158600,4.6,0.0,"0","Games"
"Angry Birds Blast",156800,4.55,0.0,"0","Games"
"Geometry Dash World",156800,4.55,0.0,"0","Games"
"Fuel Rewards® program",156800,4.55,0.0,"0","Shopping"
"MARVEL Future Fight",156800,4.55,0.0,"0","Games"
"Score! Hero",156800,4.55,0.0,"0","Games"
"Clash Royale",156800,4.55,0.0,"0","Games"
"Geometry Dash Meltdown",156800,4.55,0.0,"0","Games"
"Fallout Shelter",156800,4.55,0.0,"0","Games"
"Pinterest",156800,4.55,0.0,"0","Social Networking"
"FINAL FANTASY BRAVE EXVIUS",156800,4.55,0.0,"0","Games"
"Choices: Stories You Play",156800,4.55,0.0,"0","Games"
"War Robots",156800,4.55,0.0,"0","Games"
"Fishdom",156800,4.55,0.0,"0","Games"
"Shadow Fight 2",156800,4.55,0.0,"0","Games"
"Township",156800,4.55,0.0,"0","Games"
"Chase Mobile",156800,4.55,0.0,"0","Finance"
"Animal Jam - Play Wild!",156800,4.55,0.0,"0","Games"
"Hill Climb Racing 2",156800,4.55,0.0,"0","Games"
"Clash of Clans",156800,4.55,0.0,"0","Games"
"My Horse",155000,4.5,0.0,"0","Games"
"Dude Perfect 2",155000,4.5,0.0,"0","Games"
"Hay Day",155000,4.5,0.0,"0","Games"
"Seven - 7 Minute Workout Training Challenge",155000,4.5,0.0,"0","Health & Fitness"
"Real Basketball",155000,4.5,0.0,"0","Games"
"PicsArt Photo Studio: Collage Maker & Pic Editor",155000,4.5,0.0,"0","Photo & Video"
"Angry Birds Epic RPG",155000,4.5,0.0,"0","Games"
"Discord - Chat for Gamers",155000,4.5,0.0,"0","Social Networking"
"Star Wars™: Galaxy of Heroes",155000,4.5,0.0,"0","Games"
"Bullet Force",155000,4.5,0.0,"0","Games"
"Starbucks",155000,4.5,0.0,"0","Food & Drink"
"ROBLOX",155000,4.5,0.0,"0","Games"
"Trello",155000,4.5,0.0,"0","Productivity"
"Hot Wheels: Race Off",155000,4.5,0.0,"0","Games"
"Microsoft Word",155000,4.5,0.0,"0","Productivity"
"OK K.O.! Lakewood Plaza Turbo",155000,4.5,0.0,"0","Games"
"Instagram",155000,4.5,0.0,"0","Photo & Video"
"Hungry Shark World",155000,4.5,0.0,"0","Games"
"SimCity BuildIt",155000,4.5,0.0,"0","Games"
"Rolling Sky",155000,4.5,0.0,"0","Games"
"Sonic Dash",155000,4.5,0.0,"0","Games"
"My Talking Tom",155000,4.5,0.0,"0","Games"
"DoorDash - Food Delivery",155000,4.5,0.0,"0","Food & Drink"
"The Washington Post Classic",155000,4.5,0.0,"0","News"
"Boom Beach",155000,4.5,0.0,"0","Games"
