"name","profit","combined_rating","app_price","play_price","genre"
"PewDiePie's Tuber Simulator",493400,4.9,0.0,"0","Games"
"Egg, Inc.",488600,4.85,0.0,"0","Games"
"ASOS",488600,4.85,0.0,"0","Shopping"
"Domino's Pizza USA",488600,4.85,0.0,"0","Food & Drink"
"The Guardian",488600,4.85,0.0,"0","News"
"Geometry Dash Lite",479000,4.75,0.0,"0","Games"
"Fernanfloo",469400,4.65,0.0,"0","Games"
"Bible",464600,4.6,0.0,"0","Reference"
"Narcos: Cartel Wars",464600,4.6,0.0,"0","Games"
"Solitaire",464600,4.6,0.0,"0","Games"
"Zombie Catchers",464600,4.6,0.0,"0","Games"
"Toy Blast",464600,4.6,0.0,"0","Games"
